ip	name
10.110.1.251	Lo0.default.DOP-ROB-DEIXN102
10.110.1.103	Lo1.default.DOP-ROB-DEIXN102
10.110.8.22	Po1111.default.DOP-ROB-DEIXN102
10.110.8.5	Eth1-1.default.DOP-ROB-DEIXN102
10.110.8.11	Eth1-2.default.DOP-ROB-DEIXN102
100.64.251.6	Eth1-10_3.default.DOP-ROB-DEIXN102
10.110.10.4	Eth1-35.default.DOP-ROB-DEIXN102
10.110.10.6	Eth1-36.default.DOP-ROB-DEIXN102
100.70.1.12	Lo3.DGES_DCI.DOP-ROB-DEIXN102
100.70.1.7	Eth1-1_4.DGES_DCI.DOP-ROB-DEIXN102
100.70.1.5	Eth1-2_4.DGES_DCI.DOP-ROB-DEIXN102
100.70.1.28	Eth1-4.DGES_DCI.DOP-ROB-DEIXN102
100.70.1.30	Eth1-5.DGES_DCI.DOP-ROB-DEIXN102
100.70.1.48	Eth1-6_4.DGES_DCI.DOP-ROB-DEIXN102
100.70.1.50	Eth1-7_4.DGES_DCI.DOP-ROB-DEIXN102
100.64.252.12	Lo2.DG_INTERN.DOP-ROB-DEIXN102
100.64.252.7	Eth1-1_3.DG_INTERN.DOP-ROB-DEIXN102
100.64.252.5	Eth1-2_3.DG_INTERN.DOP-ROB-DEIXN102
100.64.252.44	Eth1-6_3.DG_INTERN.DOP-ROB-DEIXN102
100.64.252.46	Eth1-7_3.DG_INTERN.DOP-ROB-DEIXN102
100.64.252.30	Eth1-10_4.DG_INTERN.DOP-ROB-DEIXN102
100.70.0.5	Eth1-12_1.DG_INTERN.DOP-ROB-DEIXN102
100.70.3.36	Lo5.OPS-MGMT.DOP-ROB-DEIXN102
100.70.3.7	Eth1-1_5.OPS-MGMT.DOP-ROB-DEIXN102
100.70.3.5	Eth1-2_5.OPS-MGMT.DOP-ROB-DEIXN102
100.70.3.26	Eth1-10_6.OPS-MGMT.DOP-ROB-DEIXN102
10.110.1.243	Lo100.Service.DOP-ROB-DEIXN102
100.64.254.5	Eth1-1_1.Service.DOP-ROB-DEIXN102
100.64.254.11	Eth1-2_1.Service.DOP-ROB-DEIXN102
